wave_rank,shortlist_rank,selection_stage,priority_rank,record_id,doi,title,year,venue,authors,abstract,source_databases,query_ids,abstract_available,abstract_screen_confidence,abstract_screen_basis,priority_score,core_score,fruit_score,oil_palm_score,instance_score,review_score,transfer_score,penalty_score,priority_tier,priority_bucket,priority_reason,priority_penalties,rule_version,review_status,retrieval_status,ledger_decision,ledger_review_order
40,50,quota:fruit_multiview_or_3d,52,R-f2b2d6eb7eafc84f,,Semantics-Driven Active Perception and Navigation with Aerial Robots,2024,ScholarlyCommons (University of Pennsylvania),Xu Liu,"Autonomous aerial robots today are capable of safely navigating through cluttered, GPS-denied environments while constructing an accurate map that captures geometric features such as points, lines, and planes. Such maps are crucial for low-level planning and obstacle avoidance. However, beyond offering details on the density, layout, and dimensions of the environment, these maps provide limited information for semantically meaningful reasoning. For instance, they fall short in helping the robot identify where to find specific objects during search and rescue operations, which areas are relevant during infrastructure inspection or asset mapping, or in distinguishing between static and dynamic entities in the environment during localization and navigation. Such reasoning capabilities are especially important for resource-constrained robots, such as micro aerial vehicles, deployed in large-scale environments. In such scenarios, robots need to keep track of important, actionable information, while respecting their onboard computational and storage resource constraints. Sparse, semantically meaningful maps facilitate robust state estimation and storage-efficient mapping, while also enabling high-level reasoning that guides intelligent, task-relevant decision-making during navigation and exploration. This thesis introduces a set of novel methodologies and algorithms for semantics-driven perception and autonomy, enabling robots to safely navigate and explore large-scale, complex environments while actively and collaboratively constructing high-quality, semantically meaningful maps. Specifically, we first present a monocular-camera-based semantic mapping system that integrates deep learning, visual tracking, and semantic Structure from Motion (SfM) for accurate fruit detection and mapping in orchards. We then develop a semantic Simultaneous Localization and Mapping (SLAM) integrated autonomous aerial navigation system for large-scale semantic mapping in under-forest-canopy environments. This system leverages real-time semantic SLAM for accurate pose estimation and timber metric assessment. Next, we introduce active metric-semantic SLAM systems for both urban outdoor and indoor environments. These systems use semantics to guide aerial robots to explore the environment and minimize both metric and semantic uncertainties. Lastly, bridging all efforts together, we propose a decentralized metric-semantic SLAM framework for autonomous navigation and exploration with heterogeneous robot teams operating across multiple environments. Extensive real-world experiments have validated the robustness and performance of the proposed methods across multiple aerial and ground robot platforms in various environments, including multi-floor indoor spaces, urban outdoors, forests, and orchards. Field deployments further showcase the system's potential for direct application in solving important real-world problems, such as precision agriculture, forestry management, climate change mitigation, infrastructure inspection, and factory asset management. Finally, the proposed systems and algorithms are made available as open-source tools for public use.",OpenAlex,Q3,yes,medium,"retain because of mechanism signal: target-specific detection, segmentation, tracking, or counting; full-text review required",180,51,54,0,23,0,48,0,B,fruit_multiview_or_3d,tracking identity; 3D reconstruction; fruit target; fruit instance operation; instance perception; quantitative evaluation; transfer identity mechanism; transfer geometry mechanism,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,8181
41,51,quota:transfer_mechanism,50,R-a062bc6b95ed446d,10.1109/tcsvt.2024.3358850,Pedestrian 3D Shape Understanding for Person Re-Identification via Multi-View Learning,2024,IEEE Transactions on Circuits and Systems for Video Technology,"Yu, Zaiyang (57413042800); Li, Lusi (57207131834); Xie, Jinlong (58862863800); Wang, Changshuo (57243478700); Li, Weijun (36065948200); Ning, Xin (56202657900)","Recent development in computing power has resulted in performance improvements on holistic(none-occluded) person Re-Identification (ReID) tasks. Nevertheless, the precision of the recent research will diminish when a pedestrian is obstructed by obstacles. Within the realm of 2D space, the loss of information from obstructed objects continues to pose significant challenges in the context of person ReID. Person is a 3D non-grid object, and thus semantic representation learning in only 2D space limits the understanding of occluded person. In the present work, we propose a network based on 3D multi-view learning, allowing it to acquire geometric and shape details of an occluded pedestrian from 3D space. Simultaneously, it capitalizes on advancements in 2D-based networks to extract semantic representations from 3D multi-views. Specifically, the surface random selection strategy is proposed to convert images of 2D RGB into 3D multi-views. Using this strategy, we build four extensive 3D multi-view data collections for person ReID. After that, Pedestrian 3D Shape Understanding for Person Re-Identification via Multi-View Learning(MV-3DSReID), is proposed for identifying the person by learning person geometry and structure representation from the groups of multi-view images. In comparison to alternative data formats (e.g., 2D RGB, 3D point cloud), multi-view images complement each other’s detailed features of the 3D object by adjusting rendering viewpoints, thus facilitating a more comprehensive understanding of the person for both holistic and occluded ReID situations. Experiments on occluded and holistic ReID tasks demonstrate performance levels comparable to state-of-the-art methods, validating the effectiveness of our proposed approach in tackling challenges related to occlusion. The code is available at https://github.com/hangjiaqi1/MV-TransReID.",Scopus;OpenAlex,Q2,yes,medium,"retain because of mechanism signal: cross-view, association, reconstruction, or point-cloud evidence; full-text review required",180,92,0,0,5,24,48,0,D,transfer_mechanism,re-identification; cross-view association; depth or point cloud; quantitative evaluation; prior review; transfer identity mechanism; transfer geometry mechanism,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,91
42,52,quota:transfer_mechanism,51,R-ef3d3a8df85cfd4d,10.1109/lra.2026.3685453,AgriGS-SLAM: Orchard Mapping Across Seasons Via Multi-View Gaussian Splatting SLAM,2026,IEEE Robotics and Automation Letters,"Usuelli, Mirko (57998450200); Rapado-Rincon, David (58346952700); Kootstra, Gert (24537424000); Matteucci, Matteo (7005216953)","Autonomous robots in orchards require real-time 3D scene understanding despite repetitive row geometry, seasonal appearance changes, and wind-driven foliage motion. We present AgriGS-SLAM, a Visual–LiDAR SLAM framework that couples direct LiDAR odometry and loop closures with multi-camera 3D Gaussian Splatting (3DGS) rendering. Batch rasterization across complementary viewpoints recovers orchard structure under occlusions, while a unified gradient-driven map lifecycle executed between keyframes preserves fine details and bounds memory. Pose refinement is guided by a probabilistic LiDAR-based depth consistency term, back-propagated through the camera projection to tighten geometry-appearance coupling. We validate the system on a field platform in apple and pear orchards across dormancy, flowering, and harvesting, using a standardized trajectory protocol that evaluates both training-view and novel-view synthesis to reduce 3DGS overfitting in evaluation. Across seasons and sites, AgriGS-SLAM delivers sharper, more stable reconstructions and steadier trajectories than recent state-of-the-art 3DGS-based SLAM methods while maintaining real-time performance on-tractor. While demonstrated in orchard monitoring, the approach can be applied to other outdoor domains requiring robust multimodal perception.",Scopus;OpenAlex,Q3,yes,medium,"retain because of mechanism signal: cross-view, association, reconstruction, or point-cloud evidence; full-text review required",180,52,40,0,5,24,48,0,D,transfer_mechanism,cross-view association; depth or point cloud; fruit target; horticultural setting; quantitative evaluation; prior review; transfer identity mechanism; transfer geometry mechanism,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,2420
43,53,quota:transfer_mechanism,53,M-a1aeae283c8f17a1,10.3390/s23239395,Joint Object Detection and Re-Identification for 3D Obstacle Multi-Camera Systems †,2023,Sensors,"Cortés, Irene (57215361413); Beltrán, Jorge (57201860819); de la Escalera, Arturo (6602500615); García, Fernando (14015459700)","The growing on-board processing capabilities have led to more complex sensor configurations, enabling autonomous car prototypes to expand their operational scope. Nowadays, the joint use of LiDAR data and multiple cameras is almost a standard and poses new challenges for existing multi-modal perception pipelines, such as dealing with contradictory or redundant detections caused by inference on overlapping images. In this paper, we address this last issue in the context of sequential schemes like F-PointNets, where object candidates are obtained in the image space, and the final 3D bounding box is then inferred from point cloud information. To this end, we propose the inclusion of a re-identification branch into the 2D detector, i.e., Faster R-CNN, so that objects seen from adjacent cameras can be handled before the 3D box estimation takes place, removing duplicates and completing the object's cloud. Extensive experimental evaluations covering both the 2D and 3D domains affirm the effectiveness of the suggested methodology. The findings indicate that our approach outperforms conventional Non-Maximum Suppression (NMS) methods. Particularly, we observed a significant gain of over 5% in terms of accuracy for cars in camera overlap regions. These results highlight the potential of our upgraded detection and re-identification system in practical scenarios for autonomous driving.",Scopus;OpenAlex,Q2,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,179,130,0,0,18,0,20,0,D,transfer_mechanism,duplicate resolution; re-identification; cross-view association; depth or point cloud; instance perception; transfer geometry mechanism,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,797
44,54,quota:fruit_multiview_or_3d,54,R-fc0702cb95e458c1,10.13031/aim.201801193,&amp;lt;i&amp;gt;Multiple Object Tracking-by-Detection for Fruit Counting on an Apple Tree Canopy&amp;lt;/i&amp;gt;,2018,,Thomas DH Jarvinen; Daeun Choi; Paul Heinemann; Tara A. Baugher,"<b><sc>Abstract.</sc></b> <b>Accurate estimation of the number of fruit on apple trees is a potentially valuable tool for enabling growers to better manage their operations. In particular, the fruit count information can be used for harvest planning, sales forecasting, and optimization of crop load management. A method for counting fruit on apple trees using RGB video sequences was implemented using a deep learning object detector based on the Faster R-CNN architecture and optical flow for object tracking. The detection and tracking mechanisms are integrated to count unique fruit detections across continuous image sequences. The proposed methodology increases overall detection accuracy by minimizing counting errors due to occluded and clustered fruit. For fruit detection in still images, a precision of 92% and recall of 82% are reported. The largest source of error came from heavily occluded fruits, which comprised 55% of fruit in the dataset and had a detection accuracy of 73%. The high percentage of heavily occluded fruit motivated the development of the video tracking algorithm, which increased the overall detection rate to 97% across the tested video sequences â effectively minimizing the occlusion problem by taking advantages of multiple viewpoints to detect partially occluded or hidden fruit. Total fruit counts for these sequences had an average error of 10% due to the introduction of false positives during video sequence analysis.</b>",OpenAlex,Q1;Q7,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,178,81,54,0,23,12,0,0,B,fruit_multiview_or_3d,unique inventory; tracking identity; counting or inventory; fruit target; fruit instance operation; instance perception; quantitative evaluation; benchmark or dataset,,priority-v1.0-title-abstract-scored-diversified,needs_manual_retrieval,not_found_or_restricted,pending,11
45,56,quota:fruit_multiview_or_3d,55,M-01e746c7917e9bb7,10.1016/j.dib.2026.112642,TomatoPGT: A 3D point cloud dataset of tomato plants for segmentation and plant-trait extraction,2026,Data in Brief,"Nethala, Prasad (58560687200); Um, Dugan (57207548495); McCoy, Samantha L. (60479708900); Gibson, Seth (60479709000); Bhandari, Mahendra (57213035528); Lee, Kiju (56100796900)","Three-dimensional (3D) point-cloud phenotyping enables non-destructive and repeatable characterization of plant architecture, supporting the measurement of traits such as internode length, branching topology, and organ orientation. This article presents TomatoPGT (Tomato Plant Graph Twin) , a 3D tomato dataset designed for research on semantic/instance segmentation, graph-based structural representation, and graph-derived phenotypic trait extraction. The dataset contains 42 scans from three greenhouse-grown tomato plants acquired across early to mid-vegetative development using a rotational multi-view imaging system. Each scan consists of 60–70 overlapping RGB images captured under uniform illumination and reconstructed into a metrically scaled dense colored point cloud using Structure-from-Motion and multi-view stereo. TomatoPGT provides: (i) multi-view RGB images, (ii) dense colored point clouds, (iii) manually curated semantic and instance annotations at organ level, (iv) graph representations encoding plant topology and geometry, and (v) tabulated phenotypic traits computed deterministically from the graphs (internode length, insertion angles, and phyllotactic angles). TomatoPGT supports reproducible development and evaluation of 3D phenotyping pipelines, including learning-based segmentation and graph-based modeling of plant architecture.",Scopus;OpenAlex,Q3;Q4,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,177,76,40,0,18,12,20,0,B,fruit_multiview_or_3d,cross-view association; 3D reconstruction; depth or point cloud; fruit target; horticultural setting; instance perception; benchmark or dataset; transfer geometry mechanism,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,2352
46,58,quota:fruit_multiview_or_3d,58,R-08e236322a37316a,10.3390/s25134138,A Dynamic Kalman Filtering Method for Multi-Object Fruit Tracking and Counting in Complex Orchards,2025,Sensors,"Zhai, Yaning (59002014700); Zhang, Ling (58437120700); Hu, Xin (59001829500); Yang, Fanghu (59002416300); Huang, Yang (57013849500)","With the rapid development of agricultural intelligence in recent years, automatic fruit detection and counting technologies have become increasingly significant for optimizing orchard management and advancing precision agriculture. However, existing deep learning-based models are primarily designed to process static and single-frame images, thereby failing to meet the large-scale detection and counting demands in the dynamically changing scenes of modern orchards. To address these challenges, this paper proposes a multi-object fruit tracking and counting method, which integrates an improved YOLO-based object detection algorithm with a dynamically optimized Kalman filter. By optimizing the network structure, the improved YOLO detection model provides high-quality detection results for subsequent tracking tasks. Then a modified Kalman filter with a variable forgetting factor is integrated to dynamically adjust the weighting of historical data, enabling the model to adapt to changes in observation and motion noise. Moreover, fruit targets are associated using a combined strategy based on Intersection over Union (IoU) and Re-Identification (Re-ID) features, improving the accuracy and stability of object matching. Consequently, the continuous tracking and precise counting of fruits in video sequences are achieved. Experimental results with image frames of fruits in video sequence are demonstrated, showing that the proposed method performs robust and continuous tracking (MOTA of 95.0% and HOTA of 82.4%). For fruit counting, the method attains a high coefficient-of-determination of 0.85 and a low root-mean-square error (RMSE) of 1.57, exhibiting high accuracy and stability of fruit detection, tracking and counting in video sequences under complex orchard environments.",Scopus;OpenAlex,Q1;Q7,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,177,79,64,0,23,0,0,0,B,fruit_multiview_or_3d,re-identification; tracking identity; counting or inventory; fruit target; horticultural setting; fruit instance operation; instance perception; quantitative evaluation,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,1439
47,59,quota:fruit_multiview_or_3d,62,R-e27416dcc9d26102,10.13925/j.cnki.gsxb.20250487,Citrus yield estimation based on multi- object tracking in video streams using an improved YOLOv8n model; [基于手持式视频流及 YOLOv8n 的目标跟踪柑橘计数估产方法研究],2026,Journal of Fruit Science,"Si, Naijin (60012605000); Cai, Jianrong (13004461900); Wang, Chen (57203540900); Zhu, Wenhui (59477430100); Pan, Bingke (59476534400); Shi, Zhiguo (60012665900)","【Objective】Accurate citrus yield estimation is a critical component of precision agricultural management, essential for optimizing production and ensuring economic benefits for growers. Traditional manual sampling methods are labor-intensive, time-consuming, and prone to subjective errors, failing to meet the demands of modern horticulture. While deep learning-based object detection has shown promise in fruit recognition from static images, its application in real-world orchard environments is hindered by challenges such as fruit occlusion, varying illumination, and perspective limitations, which lead to counting inaccuracies. Most existing video-based methods rely on linear, inter-row scanning, a technique suitable for trellis-trained orchards but ineffective for citrus trees, which typically grow in a standalone, three-dimensional crown shape. To address these limitations, this study aimed to develop and validate a robust and automated yield estimation system for individual citrus trees during the fruit expansion period. The primary objective was to establish an end-to-end pipeline that combines a novel data acquisition strategy—360° rotational video capture—with an improved object detection model (YOLOv8n-SC) and a multi-object tracking algorithm (DeepSORT). The research scope included a systematic investigation into the influence of different environmental factors, specifically lighting conditions (sunny, overcast, and artificial light) and camera perspectives (high-angle, straight-angle, and low-angle), on the overall accuracy and stability of the yield estimation system.【Methods】The methodology encompassed data acquisition, model development, and a multi-stage experimental evaluation. For data acquisition, a handheld imaging system was used to capture 360° rotational video streams around 20 individual citrus trees in a high-density orchard under three distinct lighting conditions and three different vertical camera angles, resulting in 180 video clips. A comprehensive dataset of 9000 images was created by extracting frames, which were then meticulously annotated and partitioned into training (80%) and testing (20%) sets. For model development, the baseline YOLOv8n was enhanced to create the YOLOv8n-SC model by implementing three key improvements: integrating a fourth, high-resolution (160×160) detection head to improve sensitivity to small targets; embedding the Convolutional Block Attention Module (CBAM) within the backbone network to enhance feature distinction between fruits and leaves; and replacing the original CIoU loss function with the Wise-IoU (WIoU) v3 loss function to accelerate convergence and improve bounding box precision. For tracking and counting, the DeepSORT algorithm was employed to process detection outputs from the video stream. Its workflow involves a Kalman filter for motion prediction, a cascaded matching strategy combining motion and appearance features for reliable identity association, and a track management system to assign unique IDs. The final fruit count was determined by the maximum unique ID assigned during the video sequence.【Results】The proposed YOLOv8n-SC model significantly outperformed other contemporary models. On the comprehensive dataset, it achieved a recall of 97.6% and a mean Average Precision at an IoU threshold of 0.5 (mAP50) of 93.7%, marking improvements of 2.0 and 3.5 percentage points over the baseline YOLOv8n, respectively. It also showed clear advantages over Faster R-CNN and the light-weight YOLOv10n. A detailed ablation study confirmed that each of the three modifications—the additional detection head, the CBAM module, and the WIoU loss function—contributed positively to the model's overall performance. Lighting proved to be a critical factor, as the artificial light source yielded the best detection results with an mAP50 of 98.2%, markedly superior to overcast (96.1%) and sunny (83.5%) conditions. The camera angle also had a significant impact, with the straight-angl",Scopus;OpenAlex,Q1;Q7,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,177,39,64,0,23,12,28,0,B,fruit_multiview_or_3d,tracking identity; counting or inventory; fruit target; horticultural setting; fruit instance operation; instance perception; quantitative evaluation; benchmark or dataset,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,740
48,60,quota:transfer_mechanism,59,R-19cdbe22591dd026,10.1109/cvprw50498.2020.00529,The MTA dataset for multi target multi camera pedestrian tracking by weighted distance aggregation,2020,IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops,"Kohl, Philipp (57218713669); Specker, Andreas (57207936865); Schumann, Arne (55442871800); Beyerer, Jurgen (6603794653)","Existing multi target multi camera tracking (MTMCT) datasets are small in terms of the number of identities and video length. The creation of new real world datasets is hard as privacy has to be guaranteed and the labeling is tedious. Therefore in the scope of this work a mod for GTA V to record a MTMCT dataset has been developed and used to record a simulated MTMCT dataset called Multi Camera Track Auto (MTA). The MTA dataset contains over 2,800 person identities, 6 cameras and a video length of over 100 minutes per camera. Additionally a MTMCT system has been implemented to provide a baseline for the created dataset. The system’s pipeline consists of stages for person detection, person re-identification, single camera multi target tracking, track distance calculation, and track association. The track distance calculation comprises a weighted aggregation of the following distances: a single camera time constraint, a multi camera time constraint using overlapping camera areas, an appearance feature distance, a homography matching with pairwise camera homographies, and a linear prediction based on the velocity and the time difference of tracks. When using all partial distances, we were able to surpass the results of state-of-the-art single camera trackers by +13% IDF1 score. The MTA dataset, code, and baselines are available at github.com/schuar-iosb/mta-dataset.",Scopus;OpenAlex,Q2,yes,medium,"retain because of mechanism signal: target-specific detection, segmentation, tracking, or counting; full-text review required",177,97,0,0,5,36,28,0,D,transfer_mechanism,re-identification; cross-view association; tracking identity; quantitative evaluation; prior review; benchmark or dataset; transfer identity mechanism,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,4743
49,61,quota:transfer_mechanism,60,R-bad10d9ba04a8a97,10.1145/3394171.3413863,Traffic-Aware Multi-Camera Tracking of Vehicles Based on ReID and Camera Link Model,2020,MM 2020 - Proceedings of the 28th ACM International Conference on Multimedia,"Hsu, Hung-Min (56028840900); Wang, Yizhou (57211693446); Hwang, Jenq-Neng (7403896543)","Multi-target multi-camera tracking (MTMCT), i.e., tracking multiple targets across multiple cameras, is a crucial technique for smart city applications. In this paper, we propose an effective and reliable MTMCT framework for vehicles, which consists of a traffic-aware single camera tracking (TSCT) algorithm, a trajectory-based camera link model (CLM) for vehicle re-identification (ReID), and a hierarchical clustering algorithm to obtain the cross camera vehicle trajectories. First, the TSCT, which jointly considers vehicle appearance, geometric features, and some common traffic scenarios, is proposed to track the vehicles in each camera separately. Second, the trajectory-based CLM is adopted to facilitate the relationship between each pair of adjacently connected cameras and add spatio-temporal constraints for the subsequent vehicle ReID with temporal attention. Third, the hierarchical clustering algorithm is used to merge the vehicle trajectories among all the cameras to obtain the final MTMCT results. Our proposed MTMCT is evaluated on the CityFlow dataset and achieves a new state-of-the-art performance with IDF1 of 74.93%.",Scopus;OpenAlex,Q2,yes,medium,"retain because of mechanism signal: target-specific detection, segmentation, tracking, or counting; full-text review required",177,97,0,0,5,36,28,0,D,transfer_mechanism,re-identification; cross-view association; tracking identity; quantitative evaluation; prior review; benchmark or dataset; transfer identity mechanism,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,2753
50,62,quota:transfer_mechanism,61,R-bc0c89795d0e7070,10.1109/cvprw50498.2020.00319,"Towards real-time systems for vehicle re-identification, multi-camera tracking, and anomaly detection",2020,IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops,"Peri, Neehar (57215780478); Khorramshahi, Pirazh (57190379804); Rambhatla, Sai Saketh (57189599688); Shenoy, Vineet (57215896407); Rawat, Saumya (57225345583); Chen, Jun-Cheng (56684395200); Chellappa, Rama (57203078416)","Vehicle re-identification, multi-camera vehicle tracking, and anomaly detection are essential for city-scale intelligent transportation systems. Both vehicle re-id and multi-camera tracking are challenging due to variations in aspect-ratio, occlusion, and orientation. Robust re-id and tracking systems must consider small scale variations in a vehicle's appearance to accurately distinguish among vehicles of the same make, model, and color. Scalability is critical for multi-camera systems, as the number of objects in a scene is not known a-priori. Anomaly detection presents a unique challenge due to a dearth of annotations and varied video quality. In this paper, we address the task of vehicle re-id by introducing an unsupervised excitation layer to enhance representation learning. We propose a multi-camera tracking pipeline leveraging this re-id feature extractor to compute a distance matrix and perform clustering to obtain multi-camera vehicle trajectories. Lastly, we leverage background modeling techniques to localize anomalies such as stalled vehicles and collisions. We show the effectiveness of our proposed method on the NVIDIA AI City Challenge, where we obtain 7 <sup xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">th</sup> place out of 41 teams for the task of vehicle re-id, with an mAP score of 66.68% and achieve state-of-the-art results on the Vehicle-ID dataset. We also obtain an IDF1 score of 12.45% on multi-camera vehicle tracking, and an S4 score of 29.52% for task of anomaly detection, ranking in the top 5 for both tracks.",Scopus;OpenAlex,Q2,yes,medium,"retain because of mechanism signal: target-specific detection, segmentation, tracking, or counting; full-text review required",177,97,0,0,5,36,28,0,D,transfer_mechanism,re-identification; cross-view association; tracking identity; quantitative evaluation; prior review; benchmark or dataset; transfer identity mechanism,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,1918
51,63,quota:core_identity_or_inventory,64,R-de2e1375618a2a24,10.17576/jkukm-2021-33(4)-34,A Combinatorial RGB and Depth Images CNN-based Model for Oil Palm Fruit Bunch Detection and Heatmap Localisation for a Visual SLAM System,2021,Jurnal Kejuruteraan,"Siong, Chua Zheng (59955763800); Ibrahim, Mohd Faisal (57189292118); Huddin, Aqilah Baseri (56469885100); Zaman, Mohd Hairi Mohd (42262357500); Hashim, Fazida Hanim (23094411600)","The harvesting job of cutting and collecting fruit bunches in oil palm plantations remains the most labour-intensive job in the oil palm processing cycle. The introduction of an autonomous vehicle to assist workers in the harvesting job promises better productivity. Such a driverless vehicle requires a software module known as simultaneous localisation and mapping (SLAM) to guide the vehicle to navigate autonomously. This work proposes a visual SLAM system with a distinctive capability of detecting and localising oil palm loose fresh fruit bunches (FFB) on the ground using intelligent image processing. This vehicle is equipped with a depth camera capable of capturing RGB images and depth images concurrently. Two VGG16-based convolutional neural network (CNN) models are trained using the acquired RGB and depth images dataset of loose FFBs on the ground. The output from the combinatorial FFB detection model is then fed into a visual SLAM system called RTAB-Map. By combining the FFB detection model and the visual SLAM system, the vehicle can plan for autonomous navigation safely, perform bunch pick-up tasks, and avoid collision with fruit bunches on the ground. The experiment results show that the proposed CNN model can detect and localise loose FFBs with significant accuracy in various lighting conditions.",Scopus;OpenAlex,Q3;Q6,yes,medium,"retain because of mechanism signal: target-specific detection, segmentation, tracking, or counting; full-text review required",176,22,54,44,5,12,28,0,A,core_identity_or_inventory,depth or point cloud; oil-palm target; fruit target; fruit instance operation; quantitative evaluation; benchmark or dataset; transfer identity mechanism,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,256
52,64,quota:fruit_multiview_or_3d,63,R-3f23df602ba2db25,10.3390/s19020428,Guava detection and pose estimation using a low-cost RGB-D sensor in the field,2019,Sensors (Switzerland),"Lin, Guichao (55522598500); Tang, Yunchao (55864682000); Zou, Xiangjun (14053286400); Xiong, Juntao (35732736900); Li, Jinhui (57205530659)","Fruit detection in real outdoor conditions is necessary for automatic guava harvesting, and the branch-dependent pose of fruits is also crucial to guide a robot to approach and detach the target fruit without colliding with its mother branch. To conduct automatic, collision-free picking, this study investigates a fruit detection and pose estimation method by using a low-cost red⁻green⁻blue⁻depth (RGB-D) sensor. A state-of-the-art fully convolutional network is first deployed to segment the RGB image to output a fruit and branch binary map. Based on the fruit binary map and RGB-D depth image, Euclidean clustering is then applied to group the point cloud into a set of individual fruits. Next, a multiple three-dimensional (3D) line-segments detection method is developed to reconstruct the segmented branches. Finally, the 3D pose of the fruit is estimated using its center position and nearest branch information. A dataset was acquired in an outdoor orchard to evaluate the performance of the proposed method. Quantitative experiments showed that the precision and recall of guava fruit detection were 0.983 and 0.948, respectively; the 3D pose error was 23.43° ± 14.18°; and the execution time per fruit was 0.565 s. The results demonstrate that the developed method can be applied to a guava-harvesting robot.",Scopus;OpenAlex,Q3,yes,medium,"retain because of mechanism signal: target-specific detection, segmentation, tracking, or counting; full-text review required",176,22,64,0,23,36,20,0,B,fruit_multiview_or_3d,depth or point cloud; fruit target; horticultural setting; fruit instance operation; instance perception; quantitative evaluation; prior review; benchmark or dataset,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,4583
53,65,quota:core_identity_or_inventory,65,M-8a926f810181baf9,10.3390/agronomy15051135,A Robust Tomato Counting Framework for Greenhouse Inspection Robots Using YOLOv8 and Inter-Frame Prediction,2025,Agronomy,"Zheng, Wanli (59253232100); Dai, Guanglin (57345540800); Hu, Miao (59916305700); Wang, Pengbo (55822235400)","Accurate tomato yield estimation and ripeness monitoring are critical for optimizing greenhouse management. While manual counting remains labor-intensive and error-prone, this study introduces a novel vision-based framework for automated tomato counting in standardized greenhouse environments. The proposed method integrates YOLOv8-based detection, depth filtering, and an inter-frame prediction algorithm to address key challenges such as background interference, occlusion, and double-counting. Our approach achieves 97.09% accuracy in tomato cluster detection, with mature and immature single fruit recognition accuracies of 92.03% and 91.79%, respectively. The multi-target tracking algorithm demonstrates a MOTA (Multiple Object Tracking Accuracy) of 0.954, outperforming conventional methods like YOLOv8 + DeepSORT. By fusing odometry data from an inspection robot, this lightweight solution enables real-time yield estimation and maturity classification, offering practical value for precision agriculture.",Scopus;OpenAlex,Q1,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,175,77,64,18,5,0,0,0,A,core_identity_or_inventory,duplicate resolution; tracking identity; counting or inventory; ripeness or variety attribute; fruit target; horticultural setting; fruit instance operation; quantitative evaluation,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,1425
54,66,quota:fruit_multiview_or_3d,67,R-77c3db0d49b1aaa2,10.1109/isc260477.2024.11004199,Eggplant Detection and Counting Across the Entire Greenhouse Using Deep Learning and Motion Parallax,2024,"10th IEEE International Smart Cities Conference: Smart Cities: Revolution for Mankind, ISC2 2024 - Proceedings","Ishizuka, Tatsuya (59929225900); Sasaki, Yusuke (58738950100); Hamada, Takeo (57194020031); Shimazaki-Kishi, Yuki (59930329300); Koshizuka, Noboru (7102007961)","To address labor shortages and population growth, the importance of maximizing productivity through precision agriculture is increasing. As part of precision agriculture, counting the number of fruits on crops is conducted to monitor growth conditions and predict yields. Manual counting is inaccurate and costly, so methods using object detection technologies to count fruits have been proposed. However, existing methods count all visible fruits in the frame, leading to duplicate counts and inaccuracies in measuring the total number of fruits throughout the greenhouse. In this paper, we propose a method for accurately counting the number of eggplants in an agricultural greenhouse by using an object detection model and an object tracking model. Our method utilizes the principle of motion parallax to prevent double counting and ensure accurate counts of each ridge. This approach leads to a more precise estimate of the total number of fruits in the greenhouse. The proposed method was evaluated using object tracking metrics and a comparison with the actual fruit count, and the results showed superior performance compared to existing methods. This demonstrates that our approach is more suitable for estimating the total number of fruits throughout the entire greenhouse.",Scopus;OpenAlex,Q1;Q7,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,175,77,64,0,23,0,0,0,B,fruit_multiview_or_3d,duplicate resolution; tracking identity; counting or inventory; fruit target; horticultural setting; fruit instance operation; instance perception; quantitative evaluation,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,1337
